framework,model,site,params,logrows,prove_s,verify_s,cpu_pct,peak_mem_mb,proof_kb,mean_abs_err,median_abs_err,mse_float,verified
ezkl,linear,240,4632,12,0.8193,0.0295,480.9,334.8,29.813,,,0.026255,True
ezkl,linear,241,4632,12,0.7676,0.0286,484.6,334.6,29.771,,,0.066332,True
ezkl,linear,242,4632,12,0.8148,0.0289,476.2,334.7,29.775,,,0.029794,True
ezkl,linear,243,4632,12,0.7941,0.0276,484.8,335.0,29.827,,,0.107846,True
ezkl,linear,244,4632,12,0.7751,0.0798,478.7,334.8,29.715,,,0.020953,True
ezkl,linear,245,4632,12,0.8226,0.0279,486.3,334.6,29.709,,,0.056466,True
ezkl,linear,246,4632,12,0.7914,0.031,480.2,335.7,29.753,,,0.061899,True
ezkl,linear,247,4632,12,0.8544,0.0337,467.0,331.8,29.754,,,0.027817,True
ezkl,linear,248,4632,12,0.8204,0.0291,469.3,334.8,29.791,,,0.025129,True
ezkl,linear,249,4632,12,0.8237,0.0296,477.1,335.1,29.701,,,0.032855,True
ezkl,linear,250,4632,12,0.8327,0.0293,486.4,331.9,29.733,,,0.025278,True
ezkl,linear,251,4632,12,0.8398,0.0299,481.1,335.2,29.748,,,0.025568,True
ezkl,linear,252,4632,12,0.8617,0.0337,481.6,332.3,29.79,,,0.023245,True
ezkl,linear,253,4632,12,0.8436,0.0289,480.1,335.2,29.814,,,0.009334,True
ezkl,linear,254,4632,12,0.7981,0.0298,495.0,335.4,29.799,,,0.020638,True
ezkl,linear,255,4632,12,0.7586,0.0244,490.4,336.3,29.777,,,0.037776,True
ezkl,linear,256,4632,12,0.9844,0.0378,467.3,335.4,29.773,,,0.03765,True
ezkl,linear,257,4632,12,0.9202,0.0307,473.8,335.2,29.826,,,0.024641,True
ezkl,linear,258,4632,12,0.8771,0.0302,472.0,335.3,29.837,,,0.04051,True
ezkl,linear,259,4632,12,0.7826,0.0291,481.7,336.2,29.865,,,0.028029,True
ezkl,linear,260,4632,12,0.8406,0.0311,483.0,337.1,29.769,,,0.079437,True
ezkl,linear,261,4632,12,0.8254,0.0299,490.7,337.1,29.773,,,0.010887,True
ezkl,linear,262,4632,12,0.8578,0.0281,458.1,336.4,29.732,,,0.019396,True
ezkl,linear,263,4632,12,0.8467,0.0281,478.3,336.3,29.779,,,0.037016,True
ezkl,linear,264,4632,12,0.8094,0.0324,463.3,338.3,29.769,,,0.035376,True
ezkl,linear,265,4632,12,0.8628,0.0272,450.9,336.3,29.739,,,0.016994,True
ezkl,linear,266,4632,12,0.8051,0.0309,483.2,337.3,29.73,,,0.032433,True
ezkl,linear,267,4632,12,0.7868,0.0285,485.5,336.2,29.835,,,0.013748,True
ezkl,linear,268,4632,12,0.7825,0.0309,481.8,336.3,29.773,,,0.026342,True
ezkl,linear,269,4632,12,0.8031,0.0301,483.1,333.2,29.738,,,0.016687,True
ezkl,linear,270,4632,12,0.7785,0.0282,484.3,336.3,29.843,,,0.024354,True
ezkl,linear,271,4632,12,0.8442,0.0298,484.5,336.3,29.818,,,0.044729,True
ezkl,linear,272,4632,12,0.7565,0.0331,498.3,338.2,29.788,,,0.017016,True
ezkl,linear,273,4632,12,0.8999,0.031,451.2,337.4,29.792,,,0.0308,True
ezkl,linear,274,4632,12,0.8261,0.0267,480.6,336.3,29.753,,,0.104596,True
ezkl,linear,275,4632,12,0.8154,0.0288,481.9,336.3,29.783,,,0.085123,True
ezkl,linear,276,4632,12,0.8254,0.0328,474.9,336.4,29.772,,,0.027064,True
ezkl,linear,277,4632,12,0.7869,0.031,477.8,336.3,29.845,,,0.02955,True
