framework,model,site,params,bit_len,prove_s,verify_s,inference_s,context_s,proof_kb,peak_mem_mb,wall_s,affine_recon_err,mse_float,verified
deepprove,nlinear,230,4632,12,0.951,0.016,0.001,0.344,40.033203125,4174.6,1.427,3.5762786865234375e-07,0.025883,True
deepprove,nlinear,231,4632,12,0.834,0.016,0.001,0.524,40.033203125,4174.6,1.491,5.960464477539062e-07,0.063876,True
deepprove,nlinear,232,4632,12,0.832,0.017,0.001,0.415,40.033203125,4174.8,1.375,5.960464477539062e-07,0.03525,True
deepprove,nlinear,233,4632,12,0.796,0.018,0.001,0.364,40.033203125,4174.6,1.298,5.960464477539062e-07,0.019341,True
deepprove,nlinear,234,4632,12,1.07,0.019,0.001,0.371,40.033203125,4174.6,1.578,3.5762786865234375e-07,0.054926,True
deepprove,nlinear,235,4632,12,0.826,0.018,0.001,0.4,40.033203125,4174.6,1.365,5.960464477539062e-07,0.060185,True
deepprove,nlinear,236,4632,12,0.84,0.02,0.001,0.348,40.033203125,4174.6,1.319,3.5762786865234375e-07,0.107741,True
deepprove,nlinear,237,4632,12,0.898,0.018,0.001,0.381,40.033203125,4174.6,1.414,5.960464477539062e-07,0.009852,True
deepprove,nlinear,238,4632,12,0.867,0.017,0.001,0.482,40.033203125,4174.6,1.488,4.76837158203125e-07,0.083356,True
deepprove,nlinear,239,4632,12,1.192,0.016,0.001,0.4,40.033203125,4174.6,1.723,5.960464477539062e-07,0.010409,True
deepprove,nlinear,240,4632,12,0.801,0.017,0.001,0.367,40.033203125,4174.6,1.297,5.960464477539062e-07,0.045104,True
deepprove,nlinear,241,4632,12,1.031,0.017,0.001,0.483,40.033203125,4174.6,1.648,5.960464477539062e-07,0.07704,True
deepprove,nlinear,242,4632,12,0.895,0.018,0.001,0.363,40.033203125,4174.6,1.385,4.76837158203125e-07,0.034867,True
deepprove,nlinear,243,4632,12,0.789,0.02,0.001,0.387,40.033203125,4174.6,1.308,4.76837158203125e-07,0.118433,True
deepprove,nlinear,244,4632,12,0.959,0.018,0.001,0.353,40.033203125,4174.6,1.446,4.76837158203125e-07,0.026337,True
deepprove,nlinear,245,4632,12,0.817,0.018,0.001,0.445,40.033203125,4174.6,1.394,7.152557373046875e-07,0.042609,True
deepprove,nlinear,246,4632,12,0.785,0.017,0.001,0.352,40.033203125,4174.6,1.269,4.76837158203125e-07,0.035087,True
deepprove,nlinear,247,4632,12,0.875,0.017,0.001,0.362,40.033203125,4174.6,1.366,5.960464477539062e-07,0.023303,True
